source_id,experiment,year,cropped section,new start date,new end date,operation,operation type,Amount,Units
359,RFW3,1905,cropped section,01/08/1905,,harvest date,,,
360,RFW3,1906,cropped section,13/08/1906,,harvest date,,,
361,RFW3,1907,cropped section,24/08/1907,,harvest date,,,
362,RFW3,1908,cropped section,21/08/1908,,harvest date,,,
363,RFW3,1909,cropped section,10/09/1909,,harvest date,,,
364,RFW3,1910,cropped section,19/08/1910,,harvest date,,,
365,RFW3,1911,cropped section,04/08/1911,,harvest date,,,
366,RFW3,1912,cropped section,21/08/1912,22/08/1912,harvest date,,,
367,RFW3,1913,cropped section,01/09/1913,??,harvest date,,,
368,RFW3,1914,cropped section,04/08/1914,,harvest date,,,
369,RFW3,1915,cropped section,30/08/1915,,harvest date,,,
370,RFW3,1916,cropped section,28/08/1916,,harvest date,,,
371,RFW3,1917,cropped section,22/08/1917,,harvest date,,,
372,RFW3,1918,cropped section,20/08/1918,??,harvest date,,,
373,RFW3,1919,cropped section,27/08/1919,??,harvest date,,,
374,RFW3,1920,cropped section,17/08/1920,,harvest date,,,
375,RFW3,1921,cropped section,28/07/1921,,harvest date,,,
